rowid,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
18346,PHL,Philippines,Cavite,WKS0061756,3.0,14.42,120.88,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,5.51,6.02,6.05,5.65,5.45,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
18347,PHL,Philippines,Cavite Economic,WKS0065747,41.3,14.417,120.875,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,75.74,85.13,95.8,83.86,77.79,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
18348,PHL,Philippines,Centrala,WKS0062351,6.2,6.3338,124.7444,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,11.47,12.13,12.48,12.19,10.92,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
18349,PHL,Philippines,Clark Solar,WRI1023905,22.3,15.0736,120.5893,Solar,,,,2016.0,Enfinity Phillippines Renewable Resources Inc.,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,WRI,1090026,,,,,,,,,,,,,,41.11,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1
18350,PHL,Philippines,Concepcion,WKS0065447,100.0,15.335,120.695,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,183.07,208.92,224.64,190.63,184.92,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
18351,PHL,Philippines,Cosmo Solar,WRI1030488,5.7,10.6163,122.1683,Solar,,,,2017.0,Cosmo Solar Energy  Inc,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,WRI,1105289,,,,,,,,,,,,,,7.73,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18352,PHL,Philippines,Currimao Solar,WRI1023902,20.0,18.0508,120.4858,Solar,,,,2016.0,Mirae Asia Energy Corp.,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,WRI,1094969,,,,,,,,,,,,,,41.29,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1
18353,PHL,Philippines,Dalayap,WKS0067801,7.4,15.5365,120.615,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,13.69,13.94,14.5,13.8,13.73,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
18354,PHL,Philippines,Davao San Miguel power station,WRI1029969,300.0,6.3943,125.6173,Coal,,,,2017.0,SMC Global Power Holdings,GCPT,https://endcoal.org/global-coal-plant-tracker/,WRI,,,,,,,,,,,,,,,1890.45,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18355,PHL,Philippines,Davao Therma South power station,WRI1075845,300.0,6.9644,125.4797,Coal,,,,2016.0,ThermaSouth,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,1890.45,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18356,PHL,Philippines,Digos Solar,WRI1023914,28.6,6.7718,125.2853,Solar,,,,2016.0,Enfinity Phillippines Renewable Resources Inc.,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,WRI,1107735,,,,,,,,,,,,,,51.3,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1
18357,PHL,Philippines,First Toledo Solar,WRI1030473,60.0,10.4152,123.6789,Solar,,,,2017.0,First Toledo Solar Energy Corporation,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,WRI,,,,,,,,,,,,,,,81.4,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18358,PHL,Philippines,GUIMARAS POWER,WRI1001936,3.4,10.6584,122.5963,Oil,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,CARMA,1061438,,,,,,,,,,,,,,2.61,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18359,PHL,Philippines,Helios,WRI1023909,132.5,14.1033,121.5423,Solar,,,,2016.0,Helios Solar Energy Corporation (HSEC),Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,WRI,,,,,,,,,,,,,,,242.79,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1
18360,PHL,Philippines,ILIJAN,WRI1001886,1271.0,13.622,121.0795,Gas,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,GEODB,1020748,,,,,,,,,,,,,,9135.32,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18361,PHL,Philippines,Islasol II,WRI1023911,32.0,10.4216,122.9348,Solar,,,,2016.0,Negros Island Solar Power Inc. (ILASOL),Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,WRI,,,,,,,,,,,,,,,52.89,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1
18362,PHL,Philippines,Islasol III,WRI1030474,48.0,10.4249,122.9282,Solar,,,,2016.0,Negros Island Solar Power Inc. (ILASOL),Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,WRI,,,,,,,,,,,,,,,79.34,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1
