id,seasonYear,season,genres,title.english,title.native,title.romaji
2883,2007,winter,"['Hentai', 'Parody']",Karma Saiyuki,癒してあげルン 西遊記,"['Iyashite Agerun Saiyuki', 'The Karma Saiyuki']"
40781,0,,"['Comedy', 'Parody', 'Shounen']",,｢進撃の巨人｣ちみキャラ劇場,['Shingeki no Kyojin: Chimi Chara Gekijou']
5454,2009,summer,['Comedy'],Modern Magic Made Simple,よくわかる現代魔法,"['Modern Magic for Dummies', 'Properly Learned Modern Magic', 'Manageable Modern Magic']"
37711,2018,fall,"['Drama', 'Romance', 'School']",Love and Lies OVA,恋と嘘 一生の恋 / 恋の気持ち,['Koi to Uso OVA']
336,2004,fall,"['Fantasy', 'Shoujo']",,吟遊黙示録 マイネリーベ,"['Meine Liebe', 'My Love']"
8023,2010,winter,['Comedy'],,もっとまるっと超電磁砲,"['Toaru Kagaku no Railgun MMR', 'Motto Marutto Railgun Specials', 'A Certain Scientific Railgun Specials']"
9047,2010,summer,"['Action', 'Sci-Fi', 'Super Power']",,とある科学の超電磁砲 御坂さんはいま注目の的ですから,"['Toaru Kagaku no Railgun OVA', 'Toaru Kagaku no Choudenjihou OVA', 'A Certain Scientific Railgun OVA']"
40031,2019,summer,"['Comedy', 'Fantasy', 'Parody', 'Shounen']",Squishy! Black Clover,むぎゅっと！ブラッククローバー,[]
613,2004,fall,"['Adventure', 'Fantasy', 'Shounen', 'Supernatural']",The Chronicle of the Big Battle between Yin and Yang,陰陽大戦記,['Onmyou Tai Senki']
2406,1969,fall,"['Comedy', 'Slice of Life']",Mrs. Sazae,サザエさん,[]
1130,1986,summer,"['Action', 'Drama', 'Fantasy', 'Romance', 'Sci-Fi']",Once Upon A Time,"ウインダリア, 童話めいた戦史ウインダリア","['Tales of Windaria', 'Windaria: Legend of Fabulous Battle', 'Douwa meita senshi Windaria']"
8302,2010,winter,"['Ecchi', 'Seinen']",,れでぃ×ばと!,"['Ladies vs. Butlers!', 'Redei x Bato']"
16239,2012,fall,"['Action', 'Adventure', 'Fantasy', 'Shounen']",,ワンピース エピソードオブルフィ 〜ハンドアイランドの冒険〜,['One Piece: Episode of Luffy - Hand Island Adventure']
30585,2015,spring,"['Drama', 'School', 'Sci-Fi', 'Supernatural']",Typhoon Noruda,台風のノルダ,[]
1148,1991,summer,"['Historical', 'Horror', 'Supernatural']",Doomed Megalopolis,帝都物語,['Capital Story']
5244,2006,spring,"['Fantasy', 'Iyashikei', 'Sci-Fi', 'Shounen', 'Slice of Life']",,ARIA The NATURAL「その 再び出逢える奇跡 に…」,"['Aria the Natural Special', 'That Miracle In Which We May Meet Again...', 'Aria the Natural Promo', 'Aria the Natural Episode 0']"
2175,2007,spring,"['Adventure', 'Drama', 'Fantasy']",,キノの旅 -the Beautiful World- 病気の国 -For You-,"[""Kino's Journey: The Beautiful World - The Land of Sickness: For You"", 'Land of Illness', 'Land of Disease']"
13185,2012,fall,"['Action', 'Adventure']",Monsuno: World Master,獣旋バトル モンスーノ,"['Beast Rotation Battle Monsuno', 'Monsuno: Combat Chaos.']"
6548,2009,spring,"['Ecchi', 'Music']",Gurren Lagann: Kirameki★Yoko Box - Pieces of Sweet Stars,天元突破グレンラガン キラメキ★ヨーコBOX~Pieces of sweet stars~,[]
32409,2015,fall,"['Comedy', 'Ecchi', 'Mythology']",,新妹魔王の契約者 BURST,[]
1435,1978,fall,"['Action', 'Adult Cast', 'Adventure', 'Comedy', 'Mystery', 'Seinen']",Lupin III: The Secret of Mamo,ルパンvs複製人間,"['Rupan Sansei', 'Lupin III: Lupin vs The Human Clone']"
29085,2015,winter,['Hentai'],,聖ヤリマンシスターズ パコパコ日記 THE ANIMATION,[]
1694,2007,spring,"['Action', 'Comedy', 'Mecha', 'Sci-Fi']",IDOLM@STER Xenoglossia,アイドルマスター XENOGLOSSIA（ゼノグラシア）,"['Idol Master Xenoglossia', 'Idolmaster Xenoglossia']"
18849,2013,fall,"['Drama', 'Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']",,夏目友人帳新作アニメDVD,"['Nyanko-sensei & the First Errand', 'Natsume Yuujinchou LaLa Special', 'Natsume Yujincho LaLa Special', ""Natsume's Book of Friends LaLa Special""]"
37287,2018,winter,['Hentai'],,妻ネトリ 凌辱輪廻,[]
51369,0,,"['Action', 'Martial Arts']",,ケンガンアシュラ,[]
42414,2020,fall,"['Hentai', 'Romance']",Eternity: Sweet Love Story,エタニティ　～深夜の濡恋ちゃんねる♡～,['Eternity: Late Night Wet Love Channel']
40881,2020,fall,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids', 'Strategy Game']",Pokémon the Movie: Secrets of the Jungle,劇場版ポケットモンスター ココ,[]
37305,2018,fall,"['Action', 'Super Power', 'Supernatural']","K: SEVEN STORIES ""Lost Small World - Outside the Cage - """,K Seven Stories Lost Small World ~檻の向こうに~,['K: Seven Stories - Lost Small World - To the Other Side of the Cage']
49338,2021,fall,"['Action', 'Drama', 'Historical', 'Josei', 'Samurai', 'Supernatural']",,薄桜鬼 OVA,['Hakuoki ~Demon of the Fleeting Blossom~']
2497,1994,spring,"['Adventure', 'Comedy', 'Ecchi', 'Sci-Fi']",New Cutey Honey,新・キューティーハニー,"['Shin Cutie Honey', 'New Cutey Honey', 'New Cutey Honey Dark Group', 'Shin Cutey Honey Yami no Gundan-Hen']"
32961,2016,summer,"['Action', 'Mecha', 'Sci-Fi']",Regalia: The Three Sacred Stars,レガリア The Three Sacred Stars,[]
30915,2015,spring,"['Action', 'Fantasy', 'Shounen', 'Super Power', 'Supernatural', 'Vampire']",Blood Blockade Battlefront: Even These Are the Worst and Best Days Ever,血界戦線 #10.5特別編「それさえも最低で最高な日々」,['Kekkai Sensen 10.5']
2520,1988,spring,"['Comedy', 'Fantasy', 'Shounen', 'Super Power']",Dragon Ball Specials,ドラゴンボール,"['Dragon Ball: Goku no Koutsuuanzen', ""Dragon Ball: Goku's Traffic Safety"", 'Dragon Ball: Goku no Shouboutai', ""Dragon Ball: Goku's Fire Brigade""]"
34777,2017,summer,"['Action', 'Drama', 'Historical', 'Organized Crime']",91 Days: Shoal of Time/All Our Yesterdays/Tomorrow and Tomorrow,91Days Day13「時の浅瀬／すべての昨日／明日、また明日」,"['91 Days Episode 13', '91 Days Special']"
